Age,M,F
0-4,46284093,40612274
5-9,45756632,39282531
10-14,44268616,38248996
15-19,45883566,40385130
20-24,49602593,44389149
25-29,65923191,61416265
30-34,54604901,51669659
35-39,48542732,46159554
40-44,59608805,56856133
45-49,64191544,62444013
50-54,53852396,52205175
55-59,41772821,40635612
60-64,40523733,40315463
65-69,27595823,28464319
70-74,17125109,18101453
75-79,11294880,12988185
80-84,6134167,8358383
85-89,2370921,3862053
90-94,608023,1276347
95-99,99338,287043
100+,8529,39203
