Age,M,F
0-4,44024914,37905032
5-9,46320372,40778782
10-14,50104136,44812170
15-19,66758255,62066622
20-24,55442623,52297253
25-29,49378936,46753526
30-34,60744354,57620257
35-39,65752471,63489836
40-44,55747386,53444240
45-49,44076192,42109080
50-54,44572429,42884810
55-59,32607278,31715624
60-64,23195812,22012329
65-69,19338325,18412492
70-74,14621025,15146209
75-79,8697637,10121815
80-84,4085490,5695604
85-89,1608572,2644580
90-94,402022,822912
95-99,47679,133391
100+,2941,13229
